Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2010.9144         36.00      7.00e-10      1.39e-06     25020.8      5.49e-22         1.62         1.71
2010.9840         36.00      7.02e-10      1.39e-06     25039.3      5.49e-22         1.62         1.71
2011.0535         36.00      7.03e-10      1.39e-06     25057.9      5.48e-22         1.62         1.71
2011.1230         36.00      7.04e-10      1.39e-06     25076.6      5.48e-22         1.62         1.71
2011.1925         36.00      7.05e-10      1.39e-06     25095.2      5.47e-22         1.62         1.71
2011.2621         36.00      7.06e-10      1.39e-06     25113.9      5.47e-22         1.62         1.71
2011.3315         36.00      7.07e-10      1.39e-06     25132.5      5.46e-22         1.62         1.71
2011.4011         36.00      7.08e-10      1.39e-06     25151.2      5.46e-22         1.62         1.71
2011.4706         36.00      7.09e-10      1.39e-06     25169.8      5.46e-22         1.62         1.71
2011.5402         36.00      7.10e-10      1.39e-06     25188.5      5.45e-22         1.62         1.71
2011.6096         36.00      7.11e-10      1.39e-06     25207.1      5.45e-22         1.62         1.71
2011.6792         36.00      7.12e-10      1.39e-06     25225.8      5.44e-22         1.62         1.71
2011.7487         36.00      7.13e-10      1.39e-06     25244.4      5.44e-22         1.62         1.71
2011.8182         36.00      7.13e-10      1.39e-06     25263.1      5.43e-22         1.62         1.71
2011.8877         36.00      7.14e-10      1.39e-06     25281.7      5.43e-22         1.62         1.71
2011.9573         36.00      7.15e-10      1.39e-06     25300.3      5.43e-22         1.62         1.71
2012.0267         36.00      7.16e-10      1.39e-06     25319.0      5.42e-22         1.62         1.71
2012.0963         36.00      7.17e-10      1.39e-06     25337.8      5.42e-22         1.62         1.71
2012.1658         36.00      7.18e-10      1.39e-06     25356.6      5.41e-22         1.62         1.71
2012.2354         36.00      7.19e-10      1.39e-06     25375.4      5.41e-22         1.62         1.71
2012.3048         36.00      7.20e-10      1.39e-06     25394.2      5.41e-22         1.62         1.71
2012.3744         36.00      7.21e-10      1.39e-06     25413.0      5.40e-22         1.62         1.70
2012.4438         36.00      7.22e-10      1.39e-06     25431.8      5.40e-22         1.62         1.70
2012.5134         36.00      7.23e-10      1.39e-06     25450.6      5.39e-22         1.62         1.70
2012.5829         36.00      7.24e-10      1.39e-06     25469.4      5.39e-22         1.62         1.70
2012.6525         36.00      7.24e-10      1.39e-06     25488.2      5.38e-22         1.62         1.70
2012.7219         36.00      7.25e-10      1.39e-06     25506.9      5.38e-22         1.62         1.70
2012.7915         36.00      7.26e-10      1.39e-06     25525.7      5.38e-22         1.62         1.70
2012.8610         36.00      7.27e-10      1.39e-06     25544.5      5.37e-22         1.62         1.70
2012.9305         36.00      7.28e-10      1.39e-06     25563.3      5.37e-22         1.62         1.70
2013.0000         36.00      7.28e-10      1.39e-06     25582.1      5.36e-22         1.62         1.70
2013.0696         36.00      7.29e-10      1.39e-06     25601.1      5.36e-22         1.62         1.70
2013.1390         36.00      7.30e-10      1.39e-06     25620.0      5.36e-22         1.62         1.70
2013.2085         36.00      7.30e-10      1.39e-06     25638.9      5.35e-22         1.62         1.70
2013.2781         36.00      7.31e-10      1.39e-06     25657.8      5.35e-22         1.62         1.70
2013.3477         36.00      7.32e-10      1.39e-06     25676.8      5.34e-22         1.62         1.70
2013.4171         36.00      7.33e-10      1.39e-06     25695.7      5.34e-22         1.62         1.70
2013.4866         36.00      7.33e-10      1.39e-06     25714.6      5.34e-22         1.62         1.70
2013.5562         36.00      7.34e-10      1.39e-06     25733.6      5.33e-22         1.62         1.70
2013.6256         36.00      7.35e-10      1.39e-06     25752.5      5.33e-22         1.62         1.70
2013.6952         36.00      7.35e-10      1.39e-06     25771.5      5.32e-22         1.62         1.70
2013.7646         36.00      7.36e-10      1.39e-06     25790.4      5.32e-22         1.62         1.70
2013.8342         36.00      7.37e-10      1.39e-06     25809.3      5.31e-22         1.62         1.70
2013.9037         36.00      7.37e-10      1.39e-06     25828.3      5.31e-22         1.62         1.70
2013.9733         36.00      7.38e-10      1.39e-06     25847.2      5.31e-22         1.62         1.70
2014.0427         36.00      7.39e-10      1.39e-06     25866.2      5.30e-22         1.62         1.70
2014.1123         36.00      7.40e-10      1.39e-06     25885.3      5.30e-22         1.62         1.70
2014.1818         36.00      7.40e-10      1.39e-06     25904.4      5.29e-22         1.62         1.70
2014.2513         36.00      7.41e-10      1.39e-06     25923.5      5.29e-22         1.62         1.70
2014.3208         36.00      7.42e-10      1.39e-06     25942.6      5.29e-22         1.62         1.70
2014.3904         36.00      7.42e-10      1.39e-06     25961.7      5.28e-22         1.62         1.70
2014.4598         36.00      7.43e-10      1.39e-06     25980.8      5.28e-22         1.62         1.70
2014.5294         36.00      7.44e-10      1.39e-06     25999.9      5.27e-22         1.62         1.70
2014.5989         36.00      7.44e-10      1.39e-06     26019.0      5.27e-22         1.62         1.70
2014.6685         36.00      7.45e-10      1.39e-06     26038.1      5.27e-22         1.62         1.70
2014.7379         36.00      7.45e-10      1.39e-06     26057.1      5.26e-22         1.62         1.70
