Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
 930.3099          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.29
 930.3662          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.28
 930.4225          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.28
 930.4789          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.28
 930.5352          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.5916          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.6479          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.7042          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.7606          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.8169          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.8732          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.9296          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.55         3.28
 930.9859          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.0422          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.0986          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.1550          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.2113          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.2676          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.3240          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.54         3.28
 931.3803          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.4366          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.4930          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.5493          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.6057          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.6620          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.7183          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.53         3.28
 931.7747          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 931.8310          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 931.8873          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 931.9437          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 932.0000          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 932.0563          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 932.1127          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.52         3.28
 932.1690          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.51         3.28
 932.2253          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.51         3.28
 932.2817          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.51         3.27
 932.3380          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.51         3.27
 932.3944          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.51         3.27
 932.4507          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.51         3.27
